id,name,price,brand,subBrand,km,fuel,transmission_name,city,year
4565,GLK 320 CDI DPF 4Matic 7G-TRONIC,8600,Mercedes-benz,Glk-klasse,249230,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2008
4556,GLC-Coupe 220 d 4Matic 9G-TRONIC,32500,Mercedes-benz,Glc,150100,Diesel,Automatik,,2019
4546,Range Rover Sport SDV6,19400,Land Rover,Range Rover Sport,130500,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2012
4535,320i Touring,7500,Bmw,3er,181823,Petrol,Manuelles Getriebe,"Riedmattstrasse 8, 8153 Rümlang",2012
4512,Kodiaq 2.0 TDI DSG,28800,Skoda,Kodiaq,157535,Diesel,Automatik,,2020
4500,M2 Aut.,70500,Bmw,2er,28873,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2023
4490,118i Aut.,26000,Bmw,1er,35216,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2021
4479,Qashqai 1.7 dCi ALL-MODE 4x4i,20500,Nissan,Qashqai,98854,Diesel,Manuelles Getriebe,"Riedmattstrasse 8, 8153 Rümlang",2019
4469,Passat Variant 2.0 TDI DSG (BlueMotion Technology),19400,Vw,Passat,101469,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2018
4459,340i Touring xDrive Aut.,21600,Bmw,3er,178513,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2015
4449,320d Touring xDrive Aut.,59600,Bmw,3er,750,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2024
4439,RAV 4 2.5 4x4 Hybrid,39100,Toyota,Rav 4,69263,Benzin/Elektro,Automatic,null,2020
4429,218i Active Tourer Aut.,16200,Bmw,2er,78237,Petrol,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2017
4419,Leon 2.0 TDI DPF Start&Stop DSG,15100,Seat,Leon,133482,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2019
4409,Taycan Turbo,85700,Porsche,Taycan,37750,Elektrischer Strom,Direktantrieb,"Riedmattstrasse 8, 8153 Rümlang",2020
4399,Passat Variant 2.0 TDI SCR DSG,17300,Vw,Passat,158689,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2021
4389,420d Coupe xDrive Sport- Aut.,23800,Bmw,4er,139850,Diesel,Automatik,"Riedmattstrasse 8, 8153 Rümlang",2017
